siteid,sitename,datacreationdate,aqi,status,no2,so2,o3,pm10,no
17,Taoyuan,2024-05-31 10:00,47,Good,7.5,1.1,32.4,10,1.8
16,Datong,2024-05-31 10:00,55,Moderate,36.4,1.5,24.1,43,32.9
15,Songshan,2024-05-31 10:00,44,Good,18.7,,40.5,26,4.8
14,Guting,2024-05-31 10:00,31,Good,12.2,2.6,45,22,2.3
13,Wanhua,2024-05-31 10:00,37,Good,18.5,0.7,47,24,3.7
12,Zhongshan,2024-05-31 10:00,38,Good,23.9,0.6,35.3,26,6.5
11,Shilin,2024-05-31 10:00,43,Good,15.5,1,46.7,23,2.4
10,Tamsui,2024-05-31 10:00,49,Good,14.7,1.9,63.2,,2.1
9,Linkou,2024-05-31 10:00,37,Good,11.3,0.6,45.9,33,0.2
8,Cailiao,2024-05-31 10:00,34,Good,17.6,1.1,56.8,32,2.1
7,Xinzhuang,2024-05-31 10:00,62,Moderate,14.6,0.8,51.2,37,2.3
6,Banqiao,2024-05-31 10:00,50,Good,14.9,0.7,55.7,31,2.1
5,Tucheng,2024-05-31 10:00,62,Moderate,14.5,0.6,53.6,26,2.2
4,Xindian,2024-05-31 10:00,42,Good,9.3,1.5,50,24,2
3,Wanli,2024-05-31 10:00,30,Good,14.3,2,39.7,34,4.1
2,Xizhi,2024-05-31 10:00,44,Good,17.8,1.7,46.2,22,3.4
1,Keelung,2024-05-31 10:00,29,Good,7.8,1.4,50.4,17,1.9
313,Pingtung（fangshan）,2024-05-31 09:00,19,Good,0.7,0,29.9,45,0
312,Taichung（Rilana Elementary）,2024-05-31 09:00,15,Good,5,0,25.6,11,2.3
311,New Taipei(Shulin),2024-05-31 09:00,53,Moderate,12.4,0.8,20.5,29,2.2
204,Pingtung（Liuqiu）,2024-05-31 09:00,19,Good,1.2,0.4,21.2,10,1.5
203,Tainan（Madou）,2024-05-31 09:00,17,Good,5.2,0.3,19.7,17,2.5
202,Kaohsiung（Hunei）,2024-05-31 09:00,13,Good,8.1,,16.8,16,4.8
201,Changhua（Yuanlin）,2024-05-31 09:00,23,Good,4.5,1.5,24.3,15,3.1
85,Dacheng,2024-05-31 09:00,19,Good,2,1.3,28.4,7,0.9
84,FugueiCape,2024-05-31 09:00,40,Good,9.2,0.6,32.4,34,4.1
83,Mailiao,2024-05-31 09:00,19,Good,2.9,1.1,27.2,8,1.9
80,Guanshan,2024-05-31 09:00,24,Good,1.3,0.5,14.6,19,1.8
78,Magong,2024-05-31 09:00,22,Good,7.6,0.7,22.3,8,2.7
77,Kinmen,2024-05-31 09:00,85,Moderate,17,1.8,17.5,42,5.4
75,Matsu,2024-05-31 09:00,52,Moderate,4.2,1,39.9,23,1.5
72,Puli,2024-05-31 09:00,26,Good,4.5,0.9,15.9,26,5.3
71,Fuxing,2024-05-31 09:00,17,Good,10.9,1.9,18.1,13,4.9
70,Yonghe,2024-05-31 09:00,42,Good,25.3,1.4,13.3,21,30.5
69,Zhushan,2024-05-31 09:00,32,Good,4.2,1,14.5,36,3.6
68,Zhongli,2024-05-31 09:00,47,Good,20.9,1.7,10.8,21,30.8
67,Sanchong,2024-05-31 09:00,51,Moderate,31.4,0.8,18.1,24,44.4
66,Dongshan,2024-05-31 09:00,25,Good,10.1,1.3,21.8,36,5.9
65,Yilan,2024-05-31 09:00,17,Good,3.6,1.5,23.6,16,1.9
64,Yangming,2024-05-31 09:00,26,Good,1.2,0.6,30.8,7,0.9
63,Hualien,2024-05-31 09:00,19,Good,6.7,0.4,16.3,17,5.6
62,Taitung,2024-05-31 09:00,23,Good,4.7,0.6,17.9,20,3.3
61,Hengchun,2024-05-31 09:00,24,Good,0.4,0.1,26.7,11,0.5
60,Chaozhou,2024-05-31 09:00,19,Good,0.7,0.6,26.2,13,1.7
59,Pingtung,2024-05-31 09:00,22,Good,8.9,0.9,19.4,26,4.6
58,Xiaogang,2024-05-31 09:00,52,Moderate,10.6,6.6,19.3,20,4.8
57,Qianzhen,2024-05-31 09:00,23,Good,14.8,2.5,16.6,19,10
56,Qianjin,2024-05-31 09:00,18,Good,11.3,1.5,20.9,14,4.8
54,Zuoying,2024-05-31 09:00,26,Good,13.1,3,18.1,22,7.4
53,Nanzi,2024-05-31 09:00,23,Good,14.9,3.7,15.1,25,8.6
52,Linyuan,2024-05-31 09:00,29,Good,3.6,1.1,25.3,30,0.5
51,Daliao,2024-05-31 09:00,16,Good,3.5,0.5,22.3,18,1.7
50,Fengshan,2024-05-31 09:00,15,Good,8.3,2.1,20.1,17,3.6
49,Renwu,2024-05-31 09:00,19,Good,9.1,2.1,21.3,15,4
48,Qiaotou,2024-05-31 09:00,17,Good,10.1,1.2,18.8,19,5.4
47,Meinong,2024-05-31 09:00,17,Good,2,0,16.5,13,1.3
46,Tainan,2024-05-31 09:00,18,Good,7.4,0.5,19.8,21,3.9
45,Annan,2024-05-31 09:00,18,Good,9.1,0.4,21.4,21,4.4
44,Shanhua,2024-05-31 09:00,18,Good,2.9,0.3,19.8,10,1.7
43,Xinying,2024-05-31 09:00,19,Good,4.7,0.8,22.6,7,1.9
42,Chiayi,2024-05-31 09:00,20,Good,3.8,1.1,27.7,11,2.2
41,Taixi,2024-05-31 09:00,19,Good,2.9,1.3,27,17,1.3
40,Puzi,2024-05-31 09:00,17,Good,5.9,1.3,22,18,3.7
39,Xingang,2024-05-31 09:00,19,Good,4.2,1.8,,12,1.9
38,Lunbei,2024-05-31 09:00,17,Good,2.4,0.4,25.2,14,0.7
37,Douliu,2024-05-31 09:00,21,Good,2.9,1.1,28.4,9,2.2
36,Nantou,2024-05-31 09:00,30,Good,4.2,0.2,19.6,23,2.1
35,Erlin,2024-05-31 09:00,32,Good,,1.5,27.8,18,
34,Xianxi,2024-05-31 09:00,23,Good,3.3,0.4,27.6,10,3
33,Changhua,2024-05-31 09:00,15,Good,3.3,0.3,29.4,13,1.6
32,Xitun,2024-05-31 09:00,25,Good,8.8,0.8,22.6,19,6.1
31,Zhongming,2024-05-31 09:00,20,Good,9.2,1.6,23.9,20,4
30,Dali,2024-05-31 09:00,21,Good,9.7,1.6,15.7,24,6.5
29,Shalu,2024-05-31 09:00,17,Good,4.3,0.7,28.8,12,2.4
28,Fengyuan,2024-05-31 09:00,18,Good,2.2,1.2,30.3,8,2.1
27,Sanyi,2024-05-31 09:00,19,Good,0.6,0.8,27,6,1.4
26,Miaoli,2024-05-31 09:00,29,Good,3,0.7,27.8,7,1.8
25,Toufen,2024-05-31 09:00,28,Good,4,1.1,26.5,7,3.2
24,Hsinchu,2024-05-31 09:00,31,Good,9.4,1.1,20.9,14,4.3
23,Zhudong,2024-05-31 09:00,36,Good,3.1,0.9,20.9,13,1.7
22,Hukou,2024-05-31 09:00,50,Good,8.9,1.2,22.2,17,5.8
21,Longtan,2024-05-31 09:00,38,Good,8.1,0.5,24.2,19,3.1
20,Pingzhen,2024-05-31 09:00,41,Good,6.4,0.3,24.7,12,2.1
19,Guanyin,2024-05-31 09:00,47,Good,9,0.6,26,29,4.4
18,Dayuan,2024-05-31 09:00,40,Good,8,1.2,27.1,22,2.2
17,Taoyuan,2024-05-31 09:00,53,Moderate,8.8,1.1,25.9,17,4.9
16,Datong,2024-05-31 09:00,48,Good,29.3,1.4,12.6,26,49.5
15,Songshan,2024-05-31 09:00,44,Good,13.3,,34,26,4.5
14,Guting,2024-05-31 09:00,31,Good,9,,30.8,19,3.6
13,Wanhua,2024-05-31 09:00,36,Good,15.6,0.4,26.9,24,5.1
12,Zhongshan,2024-05-31 09:00,30,Good,15.7,0.6,26,22,6.6
