siteid,sitename,datacreationdate,aqi,status,o3,no2,pm2.5
14,Guting,2024-05-31 03:00,25,Good,7.7,3.6,7
13,Wanhua,2024-05-31 03:00,31,Good,7.5,8.8,6
12,Zhongshan,2024-05-31 03:00,31,Good,7.3,10,7
11,Shilin,2024-05-31 03:00,39,Good,9,11.1,11
10,Tamsui,2024-05-31 03:00,36,Good,7.1,14.7,12
9,Linkou,2024-05-31 03:00,33,Good,14.3,19.9,14
8,Cailiao,2024-05-31 03:00,37,Good,2.5,19.1,11
7,Xinzhuang,2024-05-31 03:00,53,Moderate,7.8,16.2,20
6,Banqiao,2024-05-31 03:00,40,Good,4.6,18.4,10
5,Tucheng,2024-05-31 03:00,55,Moderate,3.8,14.7,12
4,Xindian,2024-05-31 03:00,37,Good,9.2,2.7,14
3,Wanli,2024-05-31 03:00,24,Good,4.3,6.7,7
2,Xizhi,2024-05-31 03:00,43,Good,1.6,15.5,16
1,Keelung,2024-05-31 03:00,23,Good,2.1,11.3,11
313,Pingtung（fangshan）,2024-05-31 02:00,25,Good,26.2,1.4,0
312,Taichung（Rilana Elementary）,2024-05-31 02:00,26,Good,9.7,10.6,6
311,New Taipei(Shulin),2024-05-31 02:00,52,Moderate,3.4,11.3,19
204,Pingtung（Liuqiu）,2024-05-31 02:00,25,Good,26.1,0.6,8
203,Tainan（Madou）,2024-05-31 02:00,18,Good,22.4,3.8,6
202,Kaohsiung（Hunei）,2024-05-31 02:00,16,Good,16.3,6.4,6
201,Changhua（Yuanlin）,2024-05-31 02:00,40,Good,15.3,6.8,10
85,Dacheng,2024-05-31 02:00,18,Good,15,5.6,5
84,FugueiCape,2024-05-31 02:00,28,Good,21.2,9.5,7
83,Mailiao,2024-05-31 02:00,22,Good,18,5.6,7
80,Guanshan,2024-05-31 02:00,21,Good,4.4,1.7,3
78,Magong,2024-05-31 02:00,27,Good,30.7,2.1,1
77,Kinmen,2024-05-31 02:00,78,Moderate,4.9,25.7,26
75,Matsu,2024-05-31 02:00,38,Good,25.7,15.6,9
72,Puli,2024-05-31 02:00,33,Good,7.1,3.1,8
71,Fuxing,2024-05-31 02:00,18,Good,21.3,5.6,3
70,Yonghe,2024-05-31 02:00,59,Moderate,7.6,5.4,12
69,Zhushan,2024-05-31 02:00,24,Good,3.6,5.7,3
68,Zhongli,2024-05-31 02:00,51,Moderate,8.8,26.1,19
67,Sanchong,2024-05-31 02:00,39,Good,2.5,17,11
66,Dongshan,2024-05-31 02:00,24,Good,6.9,4,7
65,Yilan,2024-05-31 02:00,19,Good,8.8,2.8,6
64,Yangming,2024-05-31 02:00,25,Good,29.9,3.2,8
63,Hualien,2024-05-31 02:00,22,Good,17,1.1,6
62,Taitung,2024-05-31 02:00,17,Good,8.5,4.4,1
61,Hengchun,2024-05-31 02:00,25,Good,24.7,1,3
60,Chaozhou,2024-05-31 02:00,18,Good,16.4,1.4,0
59,Pingtung,2024-05-31 02:00,21,Good,22.4,3.1,1
58,Xiaogang,2024-05-31 02:00,33,Good,20.5,6.2,4
57,Qianzhen,2024-05-31 02:00,16,Good,20,6.9,0
56,Qianjin,2024-05-31 02:00,18,Good,19.5,6.3,2
54,Zuoying,2024-05-31 02:00,29,Good,18,7.1,6
53,Nanzi,2024-05-31 02:00,22,Good,14.4,13.4,3
52,Linyuan,2024-05-31 02:00,27,Good,22.3,1.8,5
51,Daliao,2024-05-31 02:00,23,Good,19.9,2.4,5
50,Fengshan,2024-05-31 02:00,21,Good,23.9,1.7,0
49,Renwu,2024-05-31 02:00,24,Good,23.4,3.5,4
48,Qiaotou,2024-05-31 02:00,18,Good,18.2,6.6,3
47,Meinong,2024-05-31 02:00,18,Good,23.1,1.5,0
46,Tainan,2024-05-31 02:00,28,Good,18.8,7.6,9
45,Annan,2024-05-31 02:00,25,Good,18.9,8,6
44,Shanhua,2024-05-31 02:00,26,Good,22.3,1.5,6
43,Xinying,2024-05-31 02:00,20,Good,18.7,3.4,3
42,Chiayi,2024-05-31 02:00,20,Good,20.4,2.2,3
41,Taixi,2024-05-31 02:00,21,Good,20.6,4.1,3
40,Puzi,2024-05-31 02:00,19,Good,16.8,5.5,
39,Xingang,2024-05-31 02:00,25,Good,22.1,2.4,5
38,Lunbei,2024-05-31 02:00,22,Good,15,3.1,4
37,Douliu,2024-05-31 02:00,23,Good,6,11.3,5
36,Nantou,2024-05-31 02:00,27,Good,3.2,7,5
35,Erlin,2024-05-31 02:00,45,Good,4.5,10.8,15
34,Xianxi,2024-05-31 02:00,32,Good,6.6,9,11
