site_id,site_name,created_date,PM2.5,SO2,O3
39,Xingang,2024-05-25 02:00,24.0,1.1,3.5
38,Lunbei,2024-05-25 02:00,23.0,0.7,0.3
37,Douliu,2024-05-25 02:00,7.0,1.2,10.6
36,Nantou,2024-05-25 02:00,8.0,,9.8
35,Erlin,2024-05-25 02:00,23.0,1.4,1.4
34,Xianxi,2024-05-25 02:00,18.0,0.8,1.0
33,Changhua,2024-05-25 02:00,8.0,0.5,7.7
32,Xitun,2024-05-25 02:00,22.0,1.6,
31,Zhongming,2024-05-25 02:00,15.0,0.7,0.5
30,Dali,2024-05-25 02:00,14.0,0.8,4.4
29,Shalu,2024-05-25 02:00,14.0,0.8,0.7
28,Fengyuan,2024-05-25 02:00,8.0,0.6,9.8
27,Sanyi,2024-05-25 02:00,8.0,0.8,6.3
26,Miaoli,2024-05-25 02:00,7.0,1.1,3.0
25,Toufen,2024-05-25 02:00,10.0,1.7,4.8
24,Hsinchu,2024-05-25 02:00,5.0,0.0,6.2
23,Zhudong,2024-05-25 02:00,10.0,0.2,5.2
22,Hukou,2024-05-25 02:00,8.0,0.5,1.6
21,Longtan,2024-05-25 02:00,6.0,0.9,6.4
20,Pingzhen,2024-05-25 02:00,8.0,0.6,3.3
19,Guanyin,2024-05-25 02:00,20.0,0.5,0.5
18,Dayuan,2024-05-25 02:00,16.0,1.6,0.5
17,Taoyuan,2024-05-25 02:00,13.0,1.2,2.6
16,Datong,2024-05-25 02:00,13.0,0.7,1.1
15,Songshan,2024-05-25 02:00,10.0,1.4,1.3
14,Guting,2024-05-25 02:00,7.0,1.3,5.3
13,Wanhua,2024-05-25 02:00,8.0,0.7,3.6
12,Zhongshan,2024-05-25 02:00,9.0,0.7,0.6
11,Shilin,2024-05-25 02:00,11.0,0.7,5.0
10,Tamsui,2024-05-25 02:00,8.0,0.5,3.2
9,Linkou,2024-05-25 02:00,8.0,0.7,11.7
8,Cailiao,2024-05-25 02:00,10.0,1.1,1.5
7,Xinzhuang,2024-05-25 02:00,18.0,0.4,0.0
6,Banqiao,2024-05-25 02:00,4.0,0.6,8.6
5,Tucheng,2024-05-25 02:00,12.0,0.0,0.4
4,Xindian,2024-05-25 02:00,11.0,0.7,11.0
3,Wanli,2024-05-25 02:00,4.0,0.7,10.9
2,Xizhi,2024-05-25 02:00,9.0,0.7,0.4
1,Keelung,2024-05-25 02:00,2.0,0.3,7.1
313,Pingtung（fangshan）,2024-05-25 01:00,11.0,0.1,30.0
312,Taichung（Rilana Elementary）,2024-05-25 01:00,4.0,0.6,2.8
311,New Taipei(Shulin),2024-05-25 01:00,13.0,0.2,3.6
204,Pingtung（Liuqiu）,2024-05-25 01:00,24.0,0.8,18.5
203,Tainan（Madou）,2024-05-25 01:00,19.0,0.6,3.8
202,Kaohsiung（Hunei）,2024-05-25 01:00,25.0,1.1,8.4
201,Changhua（Yuanlin）,2024-05-25 01:00,13.0,1.9,13.0
85,Dacheng,2024-05-25 01:00,21.0,1.5,4.9
84,FugueiCape,2024-05-25 01:00,2.0,0.2,15.0
83,Mailiao,2024-05-25 01:00,23.0,1.3,6.3
80,Guanshan,2024-05-25 01:00,0.0,0.6,24.9
78,Magong,2024-05-25 01:00,3.0,0.6,31.3
77,Kinmen,2024-05-25 01:00,18.0,1.0,28.1
75,Matsu,2024-05-25 01:00,8.0,0.3,31.9
72,Puli,2024-05-25 01:00,5.0,1.0,10.9
71,Fuxing,2024-05-25 01:00,13.0,0.7,22.9
70,Yonghe,2024-05-25 01:00,9.0,0.6,6.2
69,Zhushan,2024-05-25 01:00,9.0,0.3,9.6
68,Zhongli,2024-05-25 01:00,12.0,1.5,1.5
67,Sanchong,2024-05-25 01:00,9.0,0.8,0.9
66,Dongshan,2024-05-25 01:00,3.0,0.1,13.1
65,Yilan,2024-05-25 01:00,4.0,0.4,20.5
64,Yangming,2024-05-25 01:00,3.0,0.4,25.9
63,Hualien,2024-05-25 01:00,11.0,1.2,17.1
62,Taitung,2024-05-25 01:00,1.0,0.0,15.5
61,Hengchun,2024-05-25 01:00,4.0,0.4,20.6
60,Chaozhou,2024-05-25 01:00,19.0,0.7,9.2
59,Pingtung,2024-05-25 01:00,12.0,1.1,15.4
58,Xiaogang,2024-05-25 01:00,15.0,1.1,20.2
57,Qianzhen,2024-05-25 01:00,9.0,1.7,23.3
56,Qianjin,2024-05-25 01:00,12.0,1.2,17.0
54,Zuoying,2024-05-25 01:00,18.0,2.0,11.6
53,Nanzi,2024-05-25 01:00,13.0,1.1,12.6
52,Linyuan,2024-05-25 01:00,12.0,1.3,18.6
51,Daliao,2024-05-25 01:00,18.0,1.1,13.8
50,Fengshan,2024-05-25 01:00,12.0,0.7,21.5
49,Renwu,2024-05-25 01:00,13.0,1.2,16.8
48,Qiaotou,2024-05-25 01:00,16.0,1.0,15.4
47,Meinong,2024-05-25 01:00,13.0,0.1,16.3
46,Tainan,2024-05-25 01:00,16.0,2.0,14.8
45,Annan,2024-05-25 01:00,20.0,2.0,4.3
44,Shanhua,2024-05-25 01:00,17.0,0.4,9.2
43,Xinying,2024-05-25 01:00,23.0,0.9,1.7
42,Chiayi,2024-05-25 01:00,21.0,1.1,7.5
41,Taixi,2024-05-25 01:00,17.0,1.5,7.2
40,Puzi,2024-05-25 01:00,22.0,1.3,2.3
39,Xingang,2024-05-25 01:00,17.0,1.2,4.8
38,Lunbei,2024-05-25 01:00,26.0,0.4,0.6
37,Douliu,2024-05-25 01:00,11.0,0.7,10.8
36,Nantou,2024-05-25 01:00,6.0,0.1,12.6
35,Erlin,2024-05-25 01:00,22.0,0.3,1.8
34,Xianxi,2024-05-25 01:00,14.0,0.8,1.5
33,Changhua,2024-05-25 01:00,9.0,0.1,7.9
32,Xitun,2024-05-25 01:00,19.0,1.4,0.3
31,Zhongming,2024-05-25 01:00,15.0,1.9,0.8
30,Dali,2024-05-25 01:00,15.0,1.0,5.4
29,Shalu,2024-05-25 01:00,18.0,0.8,0.6
28,Fengyuan,2024-05-25 01:00,4.0,0.6,12.2
27,Sanyi,2024-05-25 01:00,6.0,0.4,4.3
26,Miaoli,2024-05-25 01:00,8.0,0.7,1.1
25,Toufen,2024-05-25 01:00,12.0,0.9,3.4
24,Hsinchu,2024-05-25 01:00,7.0,0.3,7.0
23,Zhudong,2024-05-25 01:00,8.0,0.4,5.1
22,Hukou,2024-05-25 01:00,8.0,1.3,4.6
21,Longtan,2024-05-25 01:00,7.0,1.0,8.3
20,Pingzhen,2024-05-25 01:00,11.0,1.0,2.1
19,Guanyin,2024-05-25 01:00,20.0,0.9,0.3
18,Dayuan,2024-05-25 01:00,15.0,1.6,0.5
17,Taoyuan,2024-05-25 01:00,10.0,2.5,0.8
16,Datong,2024-05-25 01:00,9.0,1.1,1.4
15,Songshan,2024-05-25 01:00,13.0,1.8,1.3
14,Guting,2024-05-25 01:00,8.0,0.9,7.6
13,Wanhua,2024-05-25 01:00,8.0,0.2,2.5
12,Zhongshan,2024-05-25 01:00,8.0,1.2,0.5
