siteid,sitename,datacreationdate,aqi,status,co,no,no2,o3,pm10,pm2.5,so2
28,Fengyuan,2024-05-31 03:00,19,Good,0.27,2.5,3.6,19.6,24.0,2.0,0.9
27,Sanyi,2024-05-31 03:00,24,Good,0.25,1.3,1.5,20.1,36.0,4.0,1.4
26,Miaoli,2024-05-31 03:00,44,Good,0.22,1.3,11.0,0.2,23.0,10.0,2.0
25,Toufen,2024-05-31 03:00,36,Good,0.28,1.5,4.5,6.7,22.0,9.0,1.5
24,Hsinchu,2024-05-31 03:00,35,Good,0.31,0.9,9.4,17.4,15.0,9.0,1.7
23,Zhudong,2024-05-31 03:00,54,Moderate,0.29,0.6,4.6,8.1,24.0,16.0,0.4
22,Hukou,2024-05-31 03:00,51,Moderate,0.21,0.6,10.6,17.4,24.0,17.0,6.1
21,Longtan,2024-05-31 03:00,59,Moderate,0.39,0.7,15.8,4.8,31.0,18.0,1.7
20,Pingzhen,2024-05-31 03:00,44,Good,0.36,0.8,23.7,4.0,25.0,15.0,0.8
19,Guanyin,2024-05-31 03:00,35,Good,0.25,0.4,8.6,19.3,15.0,19.0,3.0
18,Dayuan,2024-05-31 03:00,49,Good,0.29,1.9,9.8,17.8,20.0,16.0,1.5
17,Taoyuan,2024-05-31 03:00,49,Good,0.49,2.0,20.0,8.0,25.0,22.0,3.9
16,Datong,2024-05-31 03:00,38,Good,1.33,15.5,13.3,4.8,17.0,12.0,1.2
15,Songshan,2024-05-31 03:00,44,Good,0.35,2.3,13.6,5.7,13.0,13.0,0.8
14,Guting,2024-05-31 03:00,25,Good,0.48,1.2,3.6,7.7,16.0,7.0,
13,Wanhua,2024-05-31 03:00,31,Good,0.63,2.1,8.8,7.5,18.0,6.0,0.7
12,Zhongshan,2024-05-31 03:00,31,Good,0.59,6.8,10.0,7.3,16.0,7.0,1.3
11,Shilin,2024-05-31 03:00,39,Good,0.27,1.5,11.1,9.0,14.0,11.0,0.2
10,Tamsui,2024-05-31 03:00,36,Good,0.19,2.8,14.7,7.1,34.0,12.0,2.3
9,Linkou,2024-05-31 03:00,33,Good,0.15,0.9,19.9,14.3,7.0,14.0,1.0
8,Cailiao,2024-05-31 03:00,37,Good,0.37,1.0,19.1,2.5,12.0,11.0,1.1
7,Xinzhuang,2024-05-31 03:00,53,Moderate,0.36,1.8,16.2,7.8,20.0,20.0,0.5
6,Banqiao,2024-05-31 03:00,40,Good,0.52,1.7,18.4,4.6,24.0,10.0,1.0
5,Tucheng,2024-05-31 03:00,55,Moderate,0.52,1.2,14.7,3.8,34.0,12.0,1.4
4,Xindian,2024-05-31 03:00,37,Good,0.43,1.8,2.7,9.2,14.0,14.0,0.7
3,Wanli,2024-05-31 03:00,24,Good,0.25,1.1,6.7,4.3,40.0,7.0,0.5
2,Xizhi,2024-05-31 03:00,43,Good,0.43,3.9,15.5,1.6,23.0,16.0,5.3
1,Keelung,2024-05-31 03:00,23,Good,0.4,2.3,11.3,2.1,12.0,11.0,1.4
313,Pingtung（fangshan）,2024-05-31 02:00,25,Good,,,1.4,26.2,,0.0,
