level_0,aqi,co,datacreationdate,index,no,no2,o3,pm10,pm2.5,siteid,sitename,so2,status
151,39,0.22,2024-05-31 04:00,151,0.5,11.2,14.5,21.0,17.0,19,Guanyin,21.4,Good
152,48,0.36,2024-05-31 04:00,152,1.8,12.6,12.1,28.0,15.0,18,Dayuan,2.1,Good
153,53,0.49,2024-05-31 04:00,153,1.9,22.7,0.0,29.0,19.0,17,Taoyuan,2.0,Moderate
154,39,1.41,2024-05-31 04:00,154,20.6,8.8,5.7,21.0,12.0,16,Datong,1.8,Good
155,42,0.47,2024-05-31 04:00,155,6.1,10.9,6.5,13.0,9.0,15,Songshan,0.2,Good
156,24,0.45,2024-05-31 04:00,156,1.6,3.2,7.3,11.0,7.0,14,Guting,0.4,Good
157,30,0.64,2024-05-31 04:00,157,1.7,7.1,6.9,21.0,8.0,13,Wanhua,0.6,Good
158,29,0.84,2024-05-31 04:00,158,13.7,7.0,6.8,14.0,5.0,12,Zhongshan,1.0,Good
159,41,0.35,2024-05-31 04:00,159,1.1,10.1,7.5,23.0,17.0,11,Shilin,0.5,Good
160,37,0.26,2024-05-31 04:00,160,2.5,19.2,4.3,27.0,14.0,10,Tamsui,2.9,Good
161,37,0.18,2024-05-31 04:00,161,0.6,22.8,8.8,13.0,12.0,9,Linkou,0.9,Good
162,34,0.48,2024-05-31 04:00,162,1.1,13.1,3.9,18.0,8.0,8,Cailiao,0.9,Good
163,55,0.55,2024-05-31 04:00,163,3.3,16.1,6.2,13.0,20.0,7,Xinzhuang,0.7,Moderate
164,39,0.55,2024-05-31 04:00,164,1.3,16.6,2.3,17.0,12.0,6,Banqiao,1.0,Good
165,55,0.65,2024-05-31 04:00,165,1.5,13.0,3.1,28.0,20.0,5,Tucheng,2.3,Moderate
166,37,0.39,2024-05-31 04:00,166,1.6,2.6,8.2,13.0,12.0,4,Xindian,0.6,Good
167,23,0.29,2024-05-31 04:00,167,1.6,6.9,5.3,27.0,6.0,3,Wanli,0.4,Good
168,44,0.44,2024-05-31 04:00,168,3.6,15.0,0.6,27.0,15.0,2,Xizhi,4.0,Good
169,24,0.47,2024-05-31 04:00,169,5.2,10.5,0.9,19.0,8.0,1,Keelung,1.4,Good
170,23,0.09,2024-05-31 03:00,170,0.1,1.7,20.6,14.0,0.0,313,Pingtung（fangshan）,0.0,Good
171,22,0.1,2024-05-31 03:00,171,0.3,7.3,11.2,32.0,3.0,312,Taichung（Rilana Elementary）,0.6,Good
172,51,0.41,2024-05-31 03:00,172,1.5,7.1,5.6,23.0,14.0,311,New Taipei(Shulin),5.9,Moderate
173,24,0.1,2024-05-31 03:00,173,1.2,0.7,25.7,10.0,6.0,204,Pingtung（Liuqiu）,0.7,Good
174,17,0.19,2024-05-31 03:00,174,1.9,3.2,19.4,22.0,5.0,203,Tainan（Madou）,0.0,Good
175,18,0.26,2024-05-31 03:00,175,2.9,4.8,17.1,16.0,6.0,202,Kaohsiung（Hunei）,1.2,Good
176,35,0.39,2024-05-31 03:00,176,5.8,8.4,8.7,22.0,8.0,201,Changhua（Yuanlin）,1.8,Good
177,16,0.09,2024-05-31 03:00,177,0.5,4.1,20.0,18.0,4.0,85,Dacheng,1.0,Good
178,27,0.14,2024-05-31 03:00,178,0.2,9.2,20.1,39.0,9.0,84,FugueiCape,0.2,Good
179,21,0.15,2024-05-31 03:00,179,1.1,3.3,21.9,11.0,5.0,83,Mailiao,1.2,Good
180,23,0.15,2024-05-31 03:00,180,0.4,1.6,5.2,4.0,4.0,80,Guanshan,0.4,Good
181,26,0.23,2024-05-31 03:00,181,1.9,2.6,27.3,7.0,1.0,78,Magong,1.1,Good
182,81,0.35,2024-05-31 03:00,182,0.5,27.3,4.0,37.0,30.0,77,Kinmen,1.7,Moderate
183,37,0.18,2024-05-31 03:00,183,0.5,5.4,40.1,24.0,11.0,75,Matsu,0.9,Good
184,33,0.25,2024-05-31 03:00,184,1.5,2.1,7.9,20.0,10.0,72,Puli,1.0,Good
185,18,0.33,2024-05-31 03:00,185,3.1,4.0,21.1,15.0,1.0,71,Fuxing,1.8,Good
186,57,0.89,2024-05-31 03:00,186,7.4,4.6,7.1,11.0,9.0,70,Yonghe,0.7,Moderate
187,25,0.16,2024-05-31 03:00,187,0.8,4.7,3.6,10.0,6.0,69,Zhushan,1.2,Good
188,53,1.14,2024-05-31 03:00,188,27.7,23.0,4.0,27.0,20.0,68,Zhongli,1.7,Moderate
189,39,1.21,2024-05-31 03:00,189,50.4,15.1,4.1,22.0,12.0,67,Sanchong,0.8,Good
190,24,0.26,2024-05-31 03:00,190,2.3,4.8,4.7,23.0,6.0,66,Dongshan,0.5,Good
191,17,0.23,2024-05-31 03:00,191,0.5,2.4,9.0,22.0,1.0,65,Yilan,0.9,Good
192,26,0.15,2024-05-31 03:00,192,0.7,2.3,30.5,10.0,7.0,64,Yangming,0.9,Good
193,20,0.27,2024-05-31 03:00,193,1.2,1.1,11.4,42.0,4.0,63,Hualien,0.6,Good
194,17,0.34,2024-05-31 03:00,194,2.9,2.8,13.0,7.0,3.0,62,Taitung,0.2,Good
195,25,0.1,2024-05-31 03:00,195,0.7,0.6,30.1,20.0,4.0,61,Hengchun,0.6,Good
196,16,0.09,2024-05-31 03:00,196,0.2,1.3,14.6,12.0,2.0,60,Chaozhou,0.9,Good
197,20,0.25,2024-05-31 03:00,197,1.1,3.0,18.0,17.0,2.0,59,Pingtung,0.6,Good
198,31,0.44,2024-05-31 03:00,198,2.2,6.8,20.0,19.0,6.0,58,Xiaogang,5.4,Good
199,17,0.51,2024-05-31 03:00,199,6.5,5.8,21.4,21.0,0.0,57,Qianzhen,1.6,Good
200,18,0.13,2024-05-31 03:00,200,1.2,4.3,21.9,17.0,2.0,56,Qianjin,1.6,Good
201,26,0.23,2024-05-31 03:00,201,1.4,4.1,21.8,14.0,5.0,54,Zuoying,1.5,Good
202,18,0.24,2024-05-31 03:00,202,1.4,7.4,20.1,22.0,3.0,53,Nanzi,0.5,Good
203,26,0.11,2024-05-31 03:00,203,0.9,1.8,19.0,20.0,5.0,52,Linyuan,0.8,Good
204,21,0.12,2024-05-31 03:00,204,0.9,3.1,16.9,17.0,4.0,51,Daliao,0.3,Good
205,21,0.43,2024-05-31 03:00,205,1.7,1.5,22.6,25.0,0.0,50,Fengshan,1.6,Good
