siteid,sitename,datacreationdate,aqi,status,pm2.5
50,Fengshan,2024-05-31 03:00,21,Good,0
49,Renwu,2024-05-31 03:00,23,Good,5
48,Qiaotou,2024-05-31 03:00,18,Good,0
47,Meinong,2024-05-31 03:00,17,Good,0
46,Tainan,2024-05-31 03:00,27,Good,6
45,Annan,2024-05-31 03:00,24,Good,6
44,Shanhua,2024-05-31 03:00,24,Good,3
43,Xinying,2024-05-31 03:00,19,Good,0
42,Chiayi,2024-05-31 03:00,19,Good,2
41,Taixi,2024-05-31 03:00,19,Good,3
40,Puzi,2024-05-31 03:00,17,Good,
39,Xingang,2024-05-31 03:00,22,Good,5
38,Lunbei,2024-05-31 03:00,20,Good,5
37,Douliu,2024-05-31 03:00,23,Good,5
36,Nantou,2024-05-31 03:00,28,Good,4
35,Erlin,2024-05-31 03:00,44,Good,13
34,Xianxi,2024-05-31 03:00,28,Good,8
33,Changhua,2024-05-31 03:00,23,Good,3
32,Xitun,2024-05-31 03:00,30,Good,8
31,Zhongming,2024-05-31 03:00,26,Good,9
30,Dali,2024-05-31 03:00,31,Good,3
29,Shalu,2024-05-31 03:00,26,Good,6
28,Fengyuan,2024-05-31 03:00,19,Good,2
27,Sanyi,2024-05-31 03:00,24,Good,4
26,Miaoli,2024-05-31 03:00,44,Good,10
25,Toufen,2024-05-31 03:00,36,Good,9
24,Hsinchu,2024-05-31 03:00,35,Good,9
23,Zhudong,2024-05-31 03:00,54,Moderate,16
22,Hukou,2024-05-31 03:00,51,Moderate,17
21,Longtan,2024-05-31 03:00,59,Moderate,18
20,Pingzhen,2024-05-31 03:00,44,Good,15
19,Guanyin,2024-05-31 03:00,35,Good,19
18,Dayuan,2024-05-31 03:00,49,Good,16
17,Taoyuan,2024-05-31 03:00,49,Good,22
16,Datong,2024-05-31 03:00,38,Good,12
15,Songshan,2024-05-31 03:00,44,Good,13
14,Guting,2024-05-31 03:00,25,Good,7
13,Wanhua,2024-05-31 03:00,31,Good,6
12,Zhongshan,2024-05-31 03:00,31,Good,7
11,Shilin,2024-05-31 03:00,39,Good,11
10,Tamsui,2024-05-31 03:00,36,Good,12
9,Linkou,2024-05-31 03:00,33,Good,14
8,Cailiao,2024-05-31 03:00,37,Good,11
7,Xinzhuang,2024-05-31 03:00,53,Moderate,20
6,Banqiao,2024-05-31 03:00,40,Good,10
5,Tucheng,2024-05-31 03:00,55,Moderate,12
4,Xindian,2024-05-31 03:00,37,Good,14
3,Wanli,2024-05-31 03:00,24,Good,7
2,Xizhi,2024-05-31 03:00,43,Good,16
1,Keelung,2024-05-31 03:00,23,Good,11
313,Pingtung（fangshan）,2024-05-31 02:00,25,Good,0
312,Taichung（Rilana Elementary）,2024-05-31 02:00,26,Good,6
