siteid,sitename,datacreationdate,aqi,status,o3,no2,pm2.5,no,so2,co,pm10
77,Kinmen,2024-05-31 00:00,73,Moderate,9.8,19.3,25,1,1.8,0.34,29
75,Matsu,2024-05-31 00:00,39,Good,24.1,16,11,0.8,1.3,0.21,19
72,Puli,2024-05-31 00:00,36,Good,7.1,5.6,8,1.6,0.9,0.21,26
71,Fuxing,2024-05-31 00:00,19,Good,20.1,8.3,0,1.5,0.7,0.12,7
70,Yonghe,2024-05-31 00:00,58,Moderate,8.2,8.8,48,3.2,0.7,0.39,
69,Zhushan,2024-05-31 00:00,36,Good,5.2,4.6,6,0.7,0.7,0.13,25
68,Zhongli,2024-05-31 00:00,47,Good,13.6,22.8,16,4.7,1.8,0.6,25
67,Sanchong,2024-05-31 00:00,43,Good,2.2,26.6,11,30.9,0.8,0.86,21
66,Dongshan,2024-05-31 00:00,24,Good,12.2,2.7,6,0.6,0.3,0.26,19
65,Yilan,2024-05-31 00:00,27,Good,11.6,3,4,0.5,0.5,0.19,18
64,Yangming,2024-05-31 00:00,25,Good,34.1,2.3,7,0.6,0.8,0.17,12
63,Hualien,2024-05-31 00:00,26,Good,17.2,2.2,4,0.4,0.4,0.18,9
62,Taitung,2024-05-31 00:00,20,Good,14.4,1.8,3,1.8,0,0.11,23
61,Hengchun,2024-05-31 00:00,28,Good,28.4,0.9,3,0.5,0.6,0.1,15
60,Chaozhou,2024-05-31 00:00,20,Good,21.3,2.6,3,0.2,0.6,0.07,16
59,Pingtung,2024-05-31 00:00,22,Good,22.7,4.4,4,0.5,0.5,0.12,16
58,Xiaogang,2024-05-31 00:00,26,Good,20.5,8.1,7,0.8,8.3,0.21,7
57,Qianzhen,2024-05-31 00:00,17,Good,20,9.9,5,2.1,0.9,0.13,11
56,Qianjin,2024-05-31 00:00,19,Good,20.4,9.7,0,0,1.3,0.1,5
54,Zuoying,2024-05-31 00:00,31,Good,20.8,9.1,12,0,1.9,0.14,8
53,Nanzi,2024-05-31 00:00,25,Good,14.9,15.8,6,0.7,1.6,0.36,15
52,Linyuan,2024-05-31 00:00,30,Good,30.3,0.7,1,0.6,0.6,0.09,28
51,Daliao,2024-05-31 00:00,25,Good,26.2,1.8,3,0.2,0.3,0.09,11
50,Fengshan,2024-05-31 00:00,22,Good,23.5,5.9,4,0.4,0.9,0.2,12
49,Renwu,2024-05-31 00:00,26,Good,20.9,9.5,8,0.7,1.7,0.34,9
48,Qiaotou,2024-05-31 00:00,19,Good,17.3,10.9,7,0.1,0.9,0.26,9
47,Meinong,2024-05-31 00:00,20,Good,11.8,2.7,8,1.3,0.7,0.16,26
46,Tainan,2024-05-31 00:00,29,Good,15,12,10,0.5,1.6,0.21,12
45,Annan,2024-05-31 00:00,30,Good,15.5,12.8,5,1.8,1.8,0.24,14
44,Shanhua,2024-05-31 00:00,27,Good,17.4,2.8,11,1.2,0.2,0.09,12
43,Xinying,2024-05-31 00:00,24,Good,19.5,3.5,0,0.5,0,0.15,14
42,Chiayi,2024-05-31 00:00,24,Good,14.6,6.1,4,1,1.5,0.17,15
41,Taixi,2024-05-31 00:00,23,Good,16.3,5.9,3,1,1.5,0.17,21
40,Puzi,2024-05-31 00:00,21,Good,18.1,5.4,,1.4,1.2,0.15,17
39,Xingang,2024-05-31 00:00,29,Good,19.9,3.8,6,1.5,0.4,0.12,15
38,Lunbei,2024-05-31 00:00,31,Good,14.3,5.3,7,3.6,1,0.15,13
37,Douliu,2024-05-31 00:00,28,Good,10.9,3,7,1.3,1,0.14,26
36,Nantou,2024-05-31 00:00,25,Good,7,5.7,7,0.6,0.2,0.16,30
35,Erlin,2024-05-31 00:00,51,Moderate,13.2,8.6,11,0.5,0.7,0.14,24
34,Xianxi,2024-05-31 00:00,38,Good,20,3.7,4,1.1,0.6,0.17,21
33,Changhua,2024-05-31 00:00,36,Good,12.4,11.1,9,1.3,1,0.26,23
32,Xitun,2024-05-31 00:00,35,Good,5.5,16,11,1.4,1,0.28,28
31,Zhongming,2024-05-31 00:00,27,Good,12,9.3,8,1,0.9,0.27,20
30,Dali,2024-05-31 00:00,40,Good,9.7,8.2,12,0.8,1.2,0.28,23
29,Shalu,2024-05-31 00:00,35,Good,22.6,8,5,0,0.8,0.21,13
28,Fengyuan,2024-05-31 00:00,27,Good,21.4,4.6,5,0.8,0.4,0.2,15
27,Sanyi,2024-05-31 00:00,32,Good,23.7,1.5,7,0.9,0.5,0.15,11
26,Miaoli,2024-05-31 00:00,43,Good,25.8,6.8,17,1,1.4,0.21,24
25,Toufen,2024-05-31 00:00,39,Good,22.4,7.2,14,1.3,1.5,0.25,32
24,Hsinchu,2024-05-31 00:00,35,Good,31.6,9.6,13,0.8,1.2,0.28,23
23,Zhudong,2024-05-31 00:00,54,Moderate,8.6,6.3,17,0.8,0.4,0.25,29
22,Hukou,2024-05-31 00:00,53,Moderate,13.1,15.8,19,0.8,0.6,0.3,21
21,Longtan,2024-05-31 00:00,56,Moderate,7.5,19.3,19,0.8,1,0.39,28
20,Pingzhen,2024-05-31 00:00,40,Good,13.8,24,13,0.4,0.8,0.32,32
19,Guanyin,2024-05-31 00:00,30,Good,30.9,6.9,10,0.1,1,0.16,15
18,Dayuan,2024-05-31 00:00,41,Good,23.2,13.5,19,0.8,3,0.33,24
17,Taoyuan,2024-05-31 00:00,44,Good,32.5,8.9,13,0.3,1.3,0.27,21
16,Datong,2024-05-31 00:00,37,Good,1.8,20,12,33.6,1.2,1.39,26
15,Songshan,2024-05-31 00:00,48,Good,2.9,25.7,15,13.6,0.8,0.61,21
14,Guting,2024-05-31 00:00,28,Good,7.9,10.4,9,1.7,0.4,0.32,17
13,Wanhua,2024-05-31 00:00,39,Good,7.6,14.5,10,2.9,0.4,0.39,17
12,Zhongshan,2024-05-31 00:00,32,Good,5.3,16.6,9,2.4,0.6,0.49,17
11,Shilin,2024-05-31 00:00,38,Good,3,23,14,1.7,0.5,0.51,21
10,Tamsui,2024-05-31 00:00,37,Good,24,9.9,12,1,1.3,0.29,19
9,Linkou,2024-05-31 00:00,31,Good,27.3,14.6,11,0.3,2.6,0.3,25
8,Cailiao,2024-05-31 00:00,43,Good,3.4,26,15,3.6,1,0.65,21
7,Xinzhuang,2024-05-31 00:00,45,Good,13.1,19.4,17,0.1,0.9,0.5,21
6,Banqiao,2024-05-31 00:00,50,Good,1.7,30,13,3,1,0.72,29
5,Tucheng,2024-05-31 00:00,58,Moderate,4.2,21.7,21,2.8,0.3,0.5,27
4,Xindian,2024-05-31 00:00,36,Good,10.6,6.3,13,1.2,0.9,0.24,21
3,Wanli,2024-05-31 00:00,28,Good,4.5,6.7,6,2.1,0,0.28,22
2,Xizhi,2024-05-31 00:00,42,Good,0.5,19.8,13,11.3,1.5,0.44,23
1,Keelung,2024-05-31 00:00,27,Good,0.4,16.7,8,9.2,1,0.51,21
313,Pingtung（fangshan）,2024-05-30 23:00,28,Good,21,2.3,1,0.3,0,0.1,14
312,Taichung（Rilana Elementary）,2024-05-30 23:00,33,Good,18.2,11.2,9,3.2,0.3,0.09,28
311,New Taipei(Shulin),2024-05-30 23:00,53,Moderate,9,11.5,15,1.8,1,0.34,25
204,Pingtung（Liuqiu）,2024-05-30 23:00,27,Good,27,1,4,1.2,0.4,0.06,11
203,Tainan（Madou）,2024-05-30 23:00,23,Good,19.1,7.3,4,1,,0.15,15
202,Kaohsiung（Hunei）,2024-05-30 23:00,18,Good,14.6,8.9,3,1.4,1.7,0.31,17
201,Changhua（Yuanlin）,2024-05-30 23:00,44,Good,16.5,9.9,14,0.5,1.7,0.27,27
85,Dacheng,2024-05-30 23:00,31,Good,15.1,5.3,5,0.3,0.8,0.12,12
