siteid,sitename,datacreationdate,aqi,status,pm2.5_x,pm2.5_y,no2,o3,co,pm10,no,so2
67,Sanchong,2024-05-30 15:00,52,Moderate,13.0,13.0,32.6,17.5,0.66,19.0,39.8,1.7
66,Dongshan,2024-05-30 15:00,33,Good,5.0,5.0,4.4,47.7,0.22,22.0,2.4,0.5
65,Yilan,2024-05-30 15:00,42,Good,6.0,6.0,3.0,48.0,0.2,12.0,0.5,1.1
64,Yangming,2024-05-30 15:00,28,Good,3.0,3.0,1.2,33.4,0.15,11.0,0.6,1.1
63,Hualien,2024-05-30 15:00,29,Good,9.0,9.0,0.9,40.8,0.17,6.0,0.4,0.0
62,Taitung,2024-05-30 15:00,33,Good,2.0,2.0,2.8,33.5,0.19,10.0,2.3,0.3
61,Hengchun,2024-05-30 15:00,32,Good,1.0,1.0,0.9,30.9,0.1,6.0,0.6,0.5
60,Chaozhou,2024-05-30 15:00,27,Good,0.0,0.0,1.6,33.2,0.07,9.0,0.3,1.0
59,Pingtung,2024-05-30 15:00,27,Good,2.0,2.0,3.5,32.5,0.14,15.0,1.1,0.5
58,Xiaogang,2024-05-30 15:00,30,Good,7.0,7.0,8.0,30.0,0.27,15.0,2.7,2.7
57,Qianzhen,2024-05-30 15:00,22,Good,3.0,3.0,11.7,25.2,0.22,15.0,5.0,1.7
56,Qianjin,2024-05-30 15:00,23,Good,1.0,1.0,9.5,23.5,0.13,9.0,3.4,1.0
54,Zuoying,2024-05-30 15:00,37,Good,10.0,10.0,7.8,27.8,0.18,15.0,2.6,1.1
53,Nanzi,2024-05-30 15:00,31,Good,7.0,7.0,14.0,24.5,0.19,11.0,5.2,0.7
52,Linyuan,2024-05-30 15:00,31,Good,5.0,5.0,0.4,35.5,0.1,18.0,0.9,0.7
51,Daliao,2024-05-30 15:00,25,Good,5.0,5.0,2.7,32.3,0.12,15.0,0.8,0.3
50,Fengshan,2024-05-30 15:00,26,Good,4.0,4.0,8.9,28.4,0.36,18.0,3.1,2.4
49,Renwu,2024-05-30 15:00,29,Good,5.0,5.0,9.1,29.3,0.19,6.0,3.8,0.0
48,Qiaotou,2024-05-30 15:00,25,Good,4.0,4.0,4.5,29.3,0.12,10.0,1.4,0.2
47,Meinong,2024-05-30 15:00,31,Good,1.0,1.0,2.3,36.4,0.14,12.0,1.6,0.9
46,Tainan,2024-05-30 15:00,41,Good,9.0,9.0,5.7,29.7,0.13,13.0,1.7,0.9
45,Annan,2024-05-30 15:00,38,Good,12.0,12.0,9.0,26.0,0.18,12.0,4.7,0.9
44,Shanhua,2024-05-30 15:00,34,Good,,,3.0,26.1,0.1,,1.9,0.3
43,Xinying,2024-05-30 15:00,42,Good,5.0,5.0,3.9,28.3,0.14,10.0,1.1,0.2
42,Chiayi,2024-05-30 15:00,48,Good,3.0,3.0,3.4,32.1,0.11,24.0,1.2,1.6
41,Taixi,2024-05-30 15:00,50,Good,12.0,12.0,4.2,59.0,0.16,58.0,1.5,1.7
40,Puzi,2024-05-30 15:00,40,Good,,,4.7,31.8,0.17,9.0,2.5,0.9
39,Xingang,2024-05-30 15:00,55,Moderate,10.0,10.0,3.6,37.0,0.13,11.0,1.7,0.9
38,Lunbei,2024-05-30 15:00,56,Moderate,11.0,11.0,5.1,39.7,0.15,14.0,1.6,0.9
37,Douliu,2024-05-30 15:00,51,Moderate,9.0,9.0,4.2,45.2,0.18,19.0,1.4,1.6
36,Nantou,2024-05-30 15:00,55,Moderate,21.0,21.0,8.6,60.6,0.26,34.0,1.3,1.0
35,Erlin,2024-05-30 15:00,57,Moderate,18.0,18.0,1.5,59.9,0.15,40.0,1.8,1.3
34,Xianxi,2024-05-30 15:00,49,Good,10.0,10.0,1.1,57.1,0.17,47.0,1.4,1.0
33,Changhua,2024-05-30 15:00,64,Moderate,13.0,13.0,7.2,69.8,0.22,44.0,2.0,1.4
32,Xitun,2024-05-30 15:00,64,Moderate,22.0,22.0,9.0,71.2,0.29,50.0,1.3,3.0
31,Zhongming,2024-05-30 15:00,42,Good,20.0,20.0,10.1,,0.34,39.0,1.2,2.9
30,Dali,2024-05-30 15:00,74,Moderate,20.0,20.0,7.5,74.4,0.33,39.0,0.6,3.1
29,Shalu,2024-05-30 15:00,58,Moderate,18.0,18.0,5.4,59.7,0.21,49.0,0.3,1.7
28,Fengyuan,2024-05-30 15:00,61,Moderate,19.0,19.0,6.7,81.9,0.28,36.0,1.0,1.4
27,Sanyi,2024-05-30 15:00,47,Good,13.0,13.0,,60.7,,24.0,,
26,Miaoli,2024-05-30 15:00,49,Good,10.0,10.0,4.5,65.7,0.18,20.0,1.3,2.2
25,Toufen,2024-05-30 15:00,52,Moderate,10.0,10.0,3.0,54.1,0.19,30.0,1.7,1.7
24,Hsinchu,2024-05-30 15:00,42,Good,9.0,9.0,4.8,46.8,0.21,16.0,1.0,0.8
23,Zhudong,2024-05-30 15:00,60,Moderate,23.0,23.0,6.6,70.7,0.23,23.0,0.7,0.7
22,Hukou,2024-05-30 15:00,56,Moderate,16.0,16.0,3.9,51.0,0.2,19.0,0.9,0.8
21,Longtan,2024-05-30 15:00,47,Good,14.0,14.0,12.2,57.9,0.26,24.0,0.3,1.5
20,Pingzhen,2024-05-30 15:00,34,Good,6.0,6.0,9.1,43.4,0.24,20.0,1.0,0.3
19,Guanyin,2024-05-30 15:00,39,Good,7.0,7.0,2.6,38.9,0.14,15.0,0.4,0.5
18,Dayuan,2024-05-30 15:00,33,Good,8.0,8.0,6.2,41.7,0.21,28.0,2.3,1.4
17,Taoyuan,2024-05-30 15:00,40,Good,10.0,10.0,14.3,39.1,0.35,21.0,3.3,5.1
16,Datong,2024-05-30 15:00,33,Good,9.0,9.0,20.3,30.3,0.67,15.0,8.6,2.1
15,Songshan,2024-05-30 15:00,31,Good,10.0,10.0,12.0,34.3,0.22,19.0,1.5,1.6
14,Guting,2024-05-30 15:00,37,Good,13.0,13.0,22.9,44.6,0.38,23.0,3.1,0.0
